,country,"fy2017, Dealing with construction permits","fy2019, Dealing with construction permits","fy2018, Dealing with construction permits"
0,AFG,33.70269,34.53602,34.53602
1,AGO,64.57157,65.32993,64.99177
2,ALB,52.60171,52.67715,52.64734
3,ARE,86.51006,89.75407,86.52729
4,ARG,48.96341,56.44015,49.26822
5,ARM,67.77198,73.05354,67.98643
6,ATG,65.50013,65.73645,65.58687
7,AUS,84.39049,84.74293,84.59173
8,AUT,74.99933,75.12558,75.0796
9,AZE,60.484,73.35785,73.10547
10,BDI,52.82433,55.01007,56.80765
11,BEL,75.35539,75.45258,75.41697
12,BEN,70.176,70.53937,70.33637
13,BFA,68.20724,68.68324,68.2869
14,BGD,60.57674,61.0534,60.8168
15,BGR,75.02122,75.92664,75.46047
16,BHR,73.72574,83.12787,73.40317
17,BHS,70.52348,70.90189,70.89344
18,BIH,48.57157,48.57157,48.57157
19,BLR,70.2254,75.17656,74.77508
20,BLZ,64.19599,64.28616,64.16031
21,BOL,59.82253,60.03804,59.95738
22,BRA,52.05098,51.91653,52.09754
23,BRB,56.63066,56.63829,56.63923
24,BRN,73.6169,73.61548,73.49267
25,BTN,68.6938,68.93607,68.84515
26,BWA,71.23832,75.5821,75.55634
27,CAF,34.0951,34.0951,34.0951
28,CAN,72.87193,72.98221,72.95398
29,CHE,71.73409,71.76412,71.75025
30,CHL,75.81073,75.93492,75.89844
31,CHN,41.21297,77.32515,65.19736
32,CIV,55.57687,57.41058,57.49902
33,CMR,52.81364,56.45175,55.76758
34,COD,51.6386,59.51169,52.97937
35,COG,59.60131,61.27627,59.83109
36,COL,68.70968,69.08851,68.76814
37,COM,66.6942,67.97648,66.76346
38,CPV,73.40729,74.64551,73.50164
39,CRI,70.74499,70.7972,70.76334
40,CYP,63.98528,64.15275,64.07683
41,CZE,56.1742,56.20809,56.19526
42,DEU,78.11466,78.20203,78.16116
43,DJI,69.02089,69.40436,69.01594
44,DMA,70.07185,70.07927,70.09158
45,DNK,86.78617,87.8797,86.90466
46,DOM,70.14118,70.74722,70.41931
47,DZA,62.94321,65.26224,64.59323
48,ECU,66.3151,66.41824,66.38171
49,EGY,71.35323,71.15784,70.75005
50,ERI,0.0,0.0,0.0
51,ESP,70.73548,70.79667,70.76903
52,EST,82.50138,82.55212,82.5261
53,ETH,49.18346,59.68328,52.84177
54,FIN,75.73689,75.92974,75.7851
55,FJI,67.69056,67.75047,67.71572
56,FRA,76.45414,74.29214,74.32579
57,FSM,61.12489,61.0262,61.12539
58,GAB,57.83165,59.78165,58.72856
59,GBR,80.3481,80.33717,80.28891
60,GEO,79.23297,80.97765,79.28057
61,GHA,61.89778,67.61784,66.1591
62,GIN,57.13813,65.85333,66.0568
63,GMB,56.77551,59.36381,57.26993
64,GNB,45.23727,45.23727,45.23727
65,GNQ,54.95363,55.00599,55.00952
66,GRC,68.36806,69.52767,69.5113
67,GRD,62.32173,62.488,62.5293
68,GTM,64.40247,65.33814,65.01178
69,GUY,52.30685,52.52066,52.45921
70,HKG,91.21002,93.46702,91.24105
71,HND,54.30047,56.16737,55.81586
72,HRV,54.77493,57.82072,55.70375
73,HTI,44.21806,44.21806,44.21806
74,HUN,66.18827,66.98092,66.90334
75,IDN,64.04171,66.77648,65.91843
76,IND,39.68793,78.65812,72.06749
77,IRL,76.24242,76.57602,76.71778
78,IRN,70.25477,71.17587,70.77958
79,IRQ,67.6567,67.66297,67.6366
80,ISL,71.66887,71.56485,71.63792
81,ISR,76.56737,76.68875,76.60332
82,ITA,68.04022,68.32703,68.17238
83,JAM,71.63379,71.87833,71.78744
84,JOR,61.70442,60.32903,59.88751
85,JPN,83.0802,83.09167,83.08849
86,KAZ,74.44108,76.54583,74.33211
87,KEN,63.16004,67.60733,63.49481
88,KGZ,68.61722,69.03277,68.92096
89,KHM,41.85847,44.55235,44.23139
90,KIR,48.63534,52.20483,51.42817
91,KNA,73.40831,73.48396,73.42022
92,KOR,84.40506,84.43518,84.42631
93,KWT,62.06596,71.93992,61.35807
94,LAO,67.56883,68.28334,67.94367
95,LBN,53.68414,53.71731,54.19415
96,LBR,28.93852,28.93852,28.93852
97,LBY,0.0,0.0,0.0
98,LCA,76.21217,76.37979,76.3276
99,LIE,0.0,83.5137,83.52035
100,LKA,68.32567,72.25919,72.24791
101,LSO,50.78803,52.94741,51.71322
102,LTU,84.75939,84.8703,84.85433
103,LUX,83.85587,83.8665,83.84971
104,LVA,73.41309,73.51445,73.45691
105,MAR,82.25144,83.24781,82.4651
